berkeley_db-CVE-2017-3604, tool 2, berkeley_db    , CVE-2017-3604  , NOT_SET        , PROTECTED_AT_PERIMETER, "Thursday - 1"
firefox-CVE-2018-18498, tool 2, firefox        , CVE-2018-18498 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-18499, tool 2, firefox        , CVE-2018-18499 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-18500, tool 2, firefox        , CVE-2018-18500 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-18501, tool 2, firefox        , CVE-2018-18501 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-18502, tool 2, firefox        , CVE-2018-18502 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-18503, tool 2, firefox        , CVE-2018-18503 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-18504, tool 2, firefox        , CVE-2018-18504 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-18505, tool 2, firefox        , CVE-2018-18505 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-18506, tool 2, firefox        , CVE-2018-18506 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-18510, tool 2, firefox        , CVE-2018-18510 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5089, tool 2, firefox        , CVE-2018-5089  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5090, tool 2, firefox        , CVE-2018-5090  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5091, tool 2, firefox        , CVE-2018-5091  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5092, tool 2, firefox        , CVE-2018-5092  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5093, tool 2, firefox        , CVE-2018-5093  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5094, tool 2, firefox        , CVE-2018-5094  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5095, tool 2, firefox        , CVE-2018-5095  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5097, tool 2, firefox        , CVE-2018-5097  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5098, tool 2, firefox        , CVE-2018-5098  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5099, tool 2, firefox        , CVE-2018-5099  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5100, tool 2, firefox        , CVE-2018-5100  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5101, tool 2, firefox        , CVE-2018-5101  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5102, tool 2, firefox        , CVE-2018-5102  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5103, tool 2, firefox        , CVE-2018-5103  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5104, tool 2, firefox        , CVE-2018-5104  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5105, tool 2, firefox        , CVE-2018-5105  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5106, tool 2, firefox        , CVE-2018-5106  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5107, tool 2, firefox        , CVE-2018-5107  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5108, tool 2, firefox        , CVE-2018-5108  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5109, tool 2, firefox        , CVE-2018-5109  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5110, tool 2, firefox        , CVE-2018-5110  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5111, tool 2, firefox        , CVE-2018-5111  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5112, tool 2, firefox        , CVE-2018-5112  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5113, tool 2, firefox        , CVE-2018-5113  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5114, tool 2, firefox        , CVE-2018-5114  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5115, tool 2, firefox        , CVE-2018-5115  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5116, tool 2, firefox        , CVE-2018-5116  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5117, tool 2, firefox        , CVE-2018-5117  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5118, tool 2, firefox        , CVE-2018-5118  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5119, tool 2, firefox        , CVE-2018-5119  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5121, tool 2, firefox        , CVE-2018-5121  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5122, tool 2, firefox        , CVE-2018-5122  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5124, tool 2, firefox        , CVE-2018-5124  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5125, tool 2, firefox        , CVE-2018-5125  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5126, tool 2, firefox        , CVE-2018-5126  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5127, tool 2, firefox        , CVE-2018-5127  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5128, tool 2, firefox        , CVE-2018-5128  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5129, tool 2, firefox        , CVE-2018-5129  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5130, tool 2, firefox        , CVE-2018-5130  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5131, tool 2, firefox        , CVE-2018-5131  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5132, tool 2, firefox        , CVE-2018-5132  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5133, tool 2, firefox        , CVE-2018-5133  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5134, tool 2, firefox        , CVE-2018-5134  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5135, tool 2, firefox        , CVE-2018-5135  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5136, tool 2, firefox        , CVE-2018-5136  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5137, tool 2, firefox        , CVE-2018-5137  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5138, tool 2, firefox        , CVE-2018-5138  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5140, tool 2, firefox        , CVE-2018-5140  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5141, tool 2, firefox        , CVE-2018-5141  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5142, tool 2, firefox        , CVE-2018-5142  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5143, tool 2, firefox        , CVE-2018-5143  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5146, tool 2, firefox        , CVE-2018-5146  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5147, tool 2, firefox        , CVE-2018-5147  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5148, tool 2, firefox        , CVE-2018-5148  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5150, tool 2, firefox        , CVE-2018-5150  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5151, tool 2, firefox        , CVE-2018-5151  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5152, tool 2, firefox        , CVE-2018-5152  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5153, tool 2, firefox        , CVE-2018-5153  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5154, tool 2, firefox        , CVE-2018-5154  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5155, tool 2, firefox        , CVE-2018-5155  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5156, tool 2, firefox        , CVE-2018-5156  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5157, tool 2, firefox        , CVE-2018-5157  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5158, tool 2, firefox        , CVE-2018-5158  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5159, tool 2, firefox        , CVE-2018-5159  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5160, tool 2, firefox        , CVE-2018-5160  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5163, tool 2, firefox        , CVE-2018-5163  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5164, tool 2, firefox        , CVE-2018-5164  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5165, tool 2, firefox        , CVE-2018-5165  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5166, tool 2, firefox        , CVE-2018-5166  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5167, tool 2, firefox        , CVE-2018-5167  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5168, tool 2, firefox        , CVE-2018-5168  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5169, tool 2, firefox        , CVE-2018-5169  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5172, tool 2, firefox        , CVE-2018-5172  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5173, tool 2, firefox        , CVE-2018-5173  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5174, tool 2, firefox        , CVE-2018-5174  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5175, tool 2, firefox        , CVE-2018-5175  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5176, tool 2, firefox        , CVE-2018-5176  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5177, tool 2, firefox        , CVE-2018-5177  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5179, tool 2, firefox        , CVE-2018-5179  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5180, tool 2, firefox        , CVE-2018-5180  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5181, tool 2, firefox        , CVE-2018-5181  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5182, tool 2, firefox        , CVE-2018-5182  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5186, tool 2, firefox        , CVE-2018-5186  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5187, tool 2, firefox        , CVE-2018-5187  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-5188, tool 2, firefox        , CVE-2018-5188  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11691, tool 2, firefox        , CVE-2019-11691 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11692, tool 2, firefox        , CVE-2019-11692 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11693, tool 2, firefox        , CVE-2019-11693 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11694, tool 2, firefox        , CVE-2019-11694 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11695, tool 2, firefox        , CVE-2019-11695 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11696, tool 2, firefox        , CVE-2019-11696 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11697, tool 2, firefox        , CVE-2019-11697 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11698, tool 2, firefox        , CVE-2019-11698 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11699, tool 2, firefox        , CVE-2019-11699 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11700, tool 2, firefox        , CVE-2019-11700 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11701, tool 2, firefox        , CVE-2019-11701 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11702, tool 2, firefox        , CVE-2019-11702 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11707, tool 2, firefox        , CVE-2019-11707 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11708, tool 2, firefox        , CVE-2019-11708 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11709, tool 2, firefox        , CVE-2019-11709 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11710, tool 2, firefox        , CVE-2019-11710 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11711, tool 2, firefox        , CVE-2019-11711 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11712, tool 2, firefox        , CVE-2019-11712 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11713, tool 2, firefox        , CVE-2019-11713 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11714, tool 2, firefox        , CVE-2019-11714 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11715, tool 2, firefox        , CVE-2019-11715 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11716, tool 2, firefox        , CVE-2019-11716 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11717, tool 2, firefox        , CVE-2019-11717 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11718, tool 2, firefox        , CVE-2019-11718 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11719, tool 2, firefox        , CVE-2019-11719 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11720, tool 2, firefox        , CVE-2019-11720 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11721, tool 2, firefox        , CVE-2019-11721 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11723, tool 2, firefox        , CVE-2019-11723 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11724, tool 2, firefox        , CVE-2019-11724 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11725, tool 2, firefox        , CVE-2019-11725 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11727, tool 2, firefox        , CVE-2019-11727 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11728, tool 2, firefox        , CVE-2019-11728 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11729, tool 2, firefox        , CVE-2019-11729 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11730, tool 2, firefox        , CVE-2019-11730 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11733, tool 2, firefox        , CVE-2019-11733 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11734, tool 2, firefox        , CVE-2019-11734 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11735, tool 2, firefox        , CVE-2019-11735 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11736, tool 2, firefox        , CVE-2019-11736 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11737, tool 2, firefox        , CVE-2019-11737 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11738, tool 2, firefox        , CVE-2019-11738 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11740, tool 2, firefox        , CVE-2019-11740 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11741, tool 2, firefox        , CVE-2019-11741 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11742, tool 2, firefox        , CVE-2019-11742 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11743, tool 2, firefox        , CVE-2019-11743 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11744, tool 2, firefox        , CVE-2019-11744 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11745, tool 2, firefox        , CVE-2019-11745 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11746, tool 2, firefox        , CVE-2019-11746 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11747, tool 2, firefox        , CVE-2019-11747 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11748, tool 2, firefox        , CVE-2019-11748 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11749, tool 2, firefox        , CVE-2019-11749 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11750, tool 2, firefox        , CVE-2019-11750 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11751, tool 2, firefox        , CVE-2019-11751 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11752, tool 2, firefox        , CVE-2019-11752 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11753, tool 2, firefox        , CVE-2019-11753 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11754, tool 2, firefox        , CVE-2019-11754 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11756, tool 2, firefox        , CVE-2019-11756 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11757, tool 2, firefox        , CVE-2019-11757 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11758, tool 2, firefox        , CVE-2019-11758 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11759, tool 2, firefox        , CVE-2019-11759 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11760, tool 2, firefox        , CVE-2019-11760 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11761, tool 2, firefox        , CVE-2019-11761 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11762, tool 2, firefox        , CVE-2019-11762 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11763, tool 2, firefox        , CVE-2019-11763 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11764, tool 2, firefox        , CVE-2019-11764 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-11765, tool 2, firefox        , CVE-2019-11765 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-17000, tool 2, firefox        , CVE-2019-17000 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-17002, tool 2, firefox        , CVE-2019-17002 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-17005, tool 2, firefox        , CVE-2019-17005 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-17008, tool 2, firefox        , CVE-2019-17008 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-17009, tool 2, firefox        , CVE-2019-17009 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-17010, tool 2, firefox        , CVE-2019-17010 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-17011, tool 2, firefox        , CVE-2019-17011 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-17012, tool 2, firefox        , CVE-2019-17012 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-17013, tool 2, firefox        , CVE-2019-17013 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-17014, tool 2, firefox        , CVE-2019-17014 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-17015, tool 2, firefox        , CVE-2019-17015 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-17016, tool 2, firefox        , CVE-2019-17016 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-17017, tool 2, firefox        , CVE-2019-17017 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-17018, tool 2, firefox        , CVE-2019-17018 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-17019, tool 2, firefox        , CVE-2019-17019 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-17020, tool 2, firefox        , CVE-2019-17020 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-17021, tool 2, firefox        , CVE-2019-17021 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-17022, tool 2, firefox        , CVE-2019-17022 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-17023, tool 2, firefox        , CVE-2019-17023 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-17024, tool 2, firefox        , CVE-2019-17024 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-17025, tool 2, firefox        , CVE-2019-17025 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-17026, tool 2, firefox        , CVE-2019-17026 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-25136, tool 2, firefox        , CVE-2019-25136 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-9788, tool 2, firefox        , CVE-2019-9788  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-9789, tool 2, firefox        , CVE-2019-9789  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-9790, tool 2, firefox        , CVE-2019-9790  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-9791, tool 2, firefox        , CVE-2019-9791  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-9792, tool 2, firefox        , CVE-2019-9792  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-9793, tool 2, firefox        , CVE-2019-9793  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-9794, tool 2, firefox        , CVE-2019-9794  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-9795, tool 2, firefox        , CVE-2019-9795  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-9796, tool 2, firefox        , CVE-2019-9796  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-9797, tool 2, firefox        , CVE-2019-9797  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-9798, tool 2, firefox        , CVE-2019-9798  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-9799, tool 2, firefox        , CVE-2019-9799  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-9800, tool 2, firefox        , CVE-2019-9800  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-9801, tool 2, firefox        , CVE-2019-9801  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-9802, tool 2, firefox        , CVE-2019-9802  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-9803, tool 2, firefox        , CVE-2019-9803  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-9804, tool 2, firefox        , CVE-2019-9804  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-9805, tool 2, firefox        , CVE-2019-9805  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-9806, tool 2, firefox        , CVE-2019-9806  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-9807, tool 2, firefox        , CVE-2019-9807  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-9808, tool 2, firefox        , CVE-2019-9808  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-9809, tool 2, firefox        , CVE-2019-9809  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-9810, tool 2, firefox        , CVE-2019-9810  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-9811, tool 2, firefox        , CVE-2019-9811  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-9812, tool 2, firefox        , CVE-2019-9812  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-9813, tool 2, firefox        , CVE-2019-9813  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-9814, tool 2, firefox        , CVE-2019-9814  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-9815, tool 2, firefox        , CVE-2019-9815  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-9816, tool 2, firefox        , CVE-2019-9816  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-9817, tool 2, firefox        , CVE-2019-9817  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-9818, tool 2, firefox        , CVE-2019-9818  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-9819, tool 2, firefox        , CVE-2019-9819  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-9820, tool 2, firefox        , CVE-2019-9820  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2019-9821, tool 2, firefox        , CVE-2019-9821  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2020-12387, tool 2, firefox        , CVE-2020-12387 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2020-12388, tool 2, firefox        , CVE-2020-12388 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2020-12389, tool 2, firefox        , CVE-2020-12389 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2020-12390, tool 2, firefox        , CVE-2020-12390 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
